event_type,msg_len,app_installed,delivery_retry_score,label_channel
Beneficiary Added Alert,107,1,1,WhatsApp
Low Balance Alert,84,0,2,Email
Fraud Alert,88,0,0,SMS
Beneficiary Added Alert,117,1,1,WhatsApp
Transaction OTP,8,1,0,Push Notification
Monthly Statement,109,0,1,Email
Fraud Alert,36,0,1,SMS
Reward Points Update,149,1,1,Push Notification
Payment Confirmation,191,1,0,Email
KYC Reminder,265,0,0,Push Notification
Login OTP,11,0,0,SMS
Low Balance Alert,59,1,0,Push Notification
Reward Points Update,79,1,2,Push Notification
Credit Card Bill Reminder,324,0,1,Email
Beneficiary Added Alert,115,1,0,WhatsApp
Credit Card Bill Reminder,159,1,0,Email
Monthly Statement,72,1,1,Push Notification
Login OTP,6,1,0,SMS
Login OTP,4,1,0,SMS
Login OTP,11,1,0,SMS
Monthly Statement,69,0,0,Email
Credit Card Bill Reminder,293,0,0,Email
KYC Reminder,115,1,0,Push Notification
KYC Reminder,349,0,0,Push Notification
Payment Confirmation,106,0,1,Email
Reward Points Update,31,1,0,Push Notification
Monthly Statement,50,1,0,Email
Beneficiary Added Alert,105,0,0,WhatsApp
Login OTP,6,0,1,SMS
Low Balance Alert,57,1,0,Push Notification
Credit Card Bill Reminder,160,1,0,SMS
KYC Reminder,133,1,1,Push Notification
Reward Points Update,159,1,0,Push Notification
Fraud Alert,119,1,0,SMS
Reward Points Update,172,0,2,Email
Payment Confirmation,59,1,0,SMS
Reward Points Update,159,1,0,Email
Reward Points Update,178,1,0,Push Notification
Transaction OTP,6,1,0,Push Notification
Fraud Alert,94,1,1,SMS
Beneficiary Added Alert,120,1,2,WhatsApp
KYC Reminder,116,1,2,Push Notification
Reward Points Update,97,1,0,Email
Beneficiary Added Alert,91,1,0,WhatsApp
Low Balance Alert,61,1,1,Email
Fraud Alert,72,1,1,SMS
Low Balance Alert,101,1,0,Push Notification
Credit Card Bill Reminder,329,1,2,Email
Payment Confirmation,87,0,1,Email
Fraud Alert,21,1,0,SMS
Credit Card Bill Reminder,221,1,1,Email
Login OTP,4,0,3,SMS
Fraud Alert,74,1,0,SMS
Beneficiary Added Alert,110,0,1,WhatsApp
Login OTP,5,0,0,SMS
Beneficiary Added Alert,60,0,0,WhatsApp
Payment Confirmation,138,0,1,Email
Fraud Alert,67,1,0,SMS
Monthly Statement,194,0,1,Email
Login OTP,9,0,0,SMS
Beneficiary Added Alert,101,0,0,WhatsApp
Login OTP,10,0,0,SMS
Reward Points Update,134,1,1,Email
Payment Confirmation,106,0,0,Email
Credit Card Bill Reminder,301,1,0,Email
Login OTP,10,0,2,SMS
Payment Confirmation,162,0,1,Email
Credit Card Bill Reminder,205,0,0,Email
Monthly Statement,102,1,2,Push Notification
Fraud Alert,72,0,0,SMS
Low Balance Alert,38,1,0,Push Notification
Fraud Alert,24,0,0,SMS
Credit Card Bill Reminder,281,1,0,Push Notification
Reward Points Update,181,1,1,Push Notification
KYC Reminder,209,0,0,Push Notification
Transaction OTP,6,1,0,Email
Beneficiary Added Alert,61,0,2,WhatsApp
Transaction OTP,5,1,1,Email
KYC Reminder,138,0,1,Push Notification
Payment Confirmation,22,1,1,Push Notification
Transaction OTP,9,0,1,Email
Login OTP,9,0,0,SMS
Low Balance Alert,52,1,0,Email
Fraud Alert,88,1,1,SMS
KYC Reminder,134,1,0,Push Notification
Credit Card Bill Reminder,158,1,0,Push Notification
Fraud Alert,67,0,0,SMS
Credit Card Bill Reminder,207,0,1,Email
KYC Reminder,287,0,0,Push Notification
Credit Card Bill Reminder,111,1,1,Email
Reward Points Update,73,1,2,Push Notification
Monthly Statement,50,1,0,Email
Transaction OTP,11,1,1,Push Notification
Reward Points Update,24,1,0,Email
KYC Reminder,313,1,0,Push Notification
Login OTP,9,1,1,SMS
Monthly Statement,45,0,0,Email
Monthly Statement,24,1,0,Push Notification
KYC Reminder,251,1,0,Push Notification
Credit Card Bill Reminder,304,1,1,Email
Low Balance Alert,81,1,1,Push Notification
Credit Card Bill Reminder,192,0,0,Email
Low Balance Alert,39,1,1,Push Notification
Credit Card Bill Reminder,282,0,0,Email
Low Balance Alert,70,1,2,Push Notification
Transaction OTP,4,1,1,Email
Fraud Alert,120,1,0,SMS
Beneficiary Added Alert,82,0,0,WhatsApp
Credit Card Bill Reminder,302,0,0,Email
KYC Reminder,201,1,0,Push Notification
Beneficiary Added Alert,74,1,0,WhatsApp
Fraud Alert,40,0,1,SMS
Monthly Statement,150,1,0,Email
Fraud Alert,34,1,1,SMS
Transaction OTP,12,0,1,Email
Fraud Alert,112,0,0,SMS
Low Balance Alert,115,1,1,Email
Reward Points Update,68,1,1,Email
Beneficiary Added Alert,67,0,0,SMS
Payment Confirmation,130,1,1,Push Notification
Fraud Alert,107,0,0,SMS
Monthly Statement,72,1,1,Push Notification
Payment Confirmation,148,0,1,Email
Payment Confirmation,107,1,2,WhatsApp
KYC Reminder,100,1,0,Push Notification
Beneficiary Added Alert,30,1,0,WhatsApp
KYC Reminder,243,1,0,Push Notification
Fraud Alert,79,0,0,SMS
Fraud Alert,43,1,1,SMS
Transaction OTP,4,1,0,Email
Transaction OTP,9,1,1,Email
Transaction OTP,8,1,0,Push Notification
Credit Card Bill Reminder,103,0,1,Email
Low Balance Alert,70,1,0,Push Notification
KYC Reminder,331,1,1,Push Notification
Credit Card Bill Reminder,158,1,1,Push Notification
Transaction OTP,6,1,0,Push Notification
Beneficiary Added Alert,101,1,1,WhatsApp
Payment Confirmation,48,0,0,Email
Login OTP,6,0,0,SMS
Login OTP,7,1,0,SMS
Reward Points Update,42,1,0,Push Notification
Credit Card Bill Reminder,208,1,1,Email
Reward Points Update,200,0,2,Email
Fraud Alert,51,1,1,SMS
Payment Confirmation,176,1,0,Push Notification
Fraud Alert,116,0,0,SMS
Payment Confirmation,187,0,1,Email
Monthly Statement,157,1,1,Email
Login OTP,5,1,1,SMS
Login OTP,6,0,0,SMS
Credit Card Bill Reminder,232,1,1,Push Notification
Payment Confirmation,35,0,0,WhatsApp
KYC Reminder,250,1,2,Push Notification
Low Balance Alert,20,1,1,Email
Beneficiary Added Alert,75,0,0,Email
Credit Card Bill Reminder,172,1,0,Push Notification
Monthly Statement,161,1,2,Push Notification
KYC Reminder,290,0,0,Push Notification
Credit Card Bill Reminder,203,1,0,Push Notification
Monthly Statement,35,0,0,Push Notification
Monthly Statement,95,1,0,Push Notification
Transaction OTP,7,1,0,Push Notification
Login OTP,8,0,0,SMS
Login OTP,6,1,2,SMS
Login OTP,10,0,0,SMS
Login OTP,7,1,0,SMS
Reward Points Update,189,0,0,Email
Low Balance Alert,69,1,0,Push Notification
Credit Card Bill Reminder,202,1,2,WhatsApp
Beneficiary Added Alert,92,0,1,WhatsApp
Fraud Alert,59,0,1,SMS
KYC Reminder,272,0,0,Email
Reward Points Update,179,1,1,Email
Credit Card Bill Reminder,277,0,0,WhatsApp
Payment Confirmation,80,1,1,Push Notification
Monthly Statement,35,1,0,Push Notification
Login OTP,8,0,0,Email
Fraud Alert,31,1,0,SMS
Monthly Statement,150,0,0,Email
Fraud Alert,57,1,1,SMS
Beneficiary Added Alert,64,1,0,WhatsApp
Beneficiary Added Alert,62,0,0,WhatsApp
KYC Reminder,131,0,0,Push Notification
Transaction OTP,6,1,0,Push Notification
Credit Card Bill Reminder,206,1,0,Push Notification
Fraud Alert,117,0,0,SMS
Credit Card Bill Reminder,142,1,1,WhatsApp
Reward Points Update,50,1,2,WhatsApp
Reward Points Update,143,0,0,Email
Credit Card Bill Reminder,185,1,2,Email
Monthly Statement,166,1,2,Email
Credit Card Bill Reminder,276,1,1,WhatsApp
Reward Points Update,185,1,0,Email
Credit Card Bill Reminder,239,0,0,SMS
KYC Reminder,293,0,2,Push Notification
Payment Confirmation,160,0,0,Email
Beneficiary Added Alert,119,1,0,WhatsApp
Payment Confirmation,191,0,1,Email
Login OTP,12,0,0,SMS
Credit Card Bill Reminder,166,1,0,Push Notification
Monthly Statement,169,1,2,Push Notification
Fraud Alert,74,1,0,SMS
Monthly Statement,37,1,0,Email
Reward Points Update,52,0,0,Email
Low Balance Alert,84,0,0,Email
Fraud Alert,87,1,1,SMS
Monthly Statement,83,1,0,Email
Fraud Alert,35,1,0,SMS
KYC Reminder,328,1,1,Push Notification
Login OTP,12,1,0,SMS
Fraud Alert,112,0,2,SMS
Fraud Alert,95,1,0,SMS
Monthly Statement,193,0,0,Email
Login OTP,5,1,1,SMS
Low Balance Alert,49,0,0,Email
KYC Reminder,273,1,0,Push Notification
Low Balance Alert,22,1,2,Push Notification
Payment Confirmation,61,1,0,Email
Transaction OTP,4,0,0,Email
Beneficiary Added Alert,105,1,0,WhatsApp
Monthly Statement,36,0,0,Email
Login OTP,8,1,0,SMS
Payment Confirmation,111,1,1,Push Notification
Beneficiary Added Alert,95,0,1,WhatsApp
Credit Card Bill Reminder,194,1,0,Push Notification
Reward Points Update,186,0,1,Email
Beneficiary Added Alert,72,1,1,WhatsApp
Monthly Statement,162,1,0,Push Notification
Transaction OTP,11,0,0,Email
Fraud Alert,40,1,2,SMS
KYC Reminder,269,1,1,Push Notification
Credit Card Bill Reminder,129,0,0,Email
Login OTP,5,1,1,SMS
Monthly Statement,87,0,1,Email
Reward Points Update,162,0,1,Email
Monthly Statement,100,1,0,Email
Transaction OTP,4,0,1,Email
Fraud Alert,108,1,0,SMS
Payment Confirmation,89,1,0,Push Notification
Payment Confirmation,122,1,0,Email
KYC Reminder,215,1,2,Push Notification
KYC Reminder,224,0,2,Push Notification
Payment Confirmation,167,0,0,Email
Reward Points Update,82,1,0,Push Notification
Transaction OTP,7,1,3,Push Notification
Credit Card Bill Reminder,285,1,3,Push Notification
Monthly Statement,172,1,0,SMS
Fraud Alert,69,1,0,SMS
Monthly Statement,146,1,0,Push Notification
Payment Confirmation,91,1,1,SMS
Credit Card Bill Reminder,251,0,1,Push Notification
Monthly Statement,112,1,2,Push Notification
Login OTP,12,1,0,SMS
KYC Reminder,194,0,0,Push Notification
Reward Points Update,135,1,0,Push Notification
Low Balance Alert,46,0,3,Email
Transaction OTP,10,0,0,Email
Monthly Statement,149,0,0,Email
Beneficiary Added Alert,52,1,1,WhatsApp
Credit Card Bill Reminder,335,1,1,Email
Monthly Statement,183,1,2,SMS
Beneficiary Added Alert,23,1,1,WhatsApp
Credit Card Bill Reminder,271,0,0,Email
KYC Reminder,329,0,0,Push Notification
Monthly Statement,109,1,1,Push Notification
Reward Points Update,82,1,1,Email
KYC Reminder,331,1,2,Push Notification
Monthly Statement,41,1,0,Push Notification
Fraud Alert,99,0,1,SMS
Low Balance Alert,74,1,1,Push Notification
Transaction OTP,12,1,2,Email
Reward Points Update,137,0,0,Email
Low Balance Alert,100,0,0,Email
Fraud Alert,78,0,0,SMS
Monthly Statement,26,1,2,Push Notification
Low Balance Alert,96,1,0,Push Notification
KYC Reminder,295,0,0,Push Notification
Transaction OTP,7,1,0,Push Notification
Beneficiary Added Alert,26,1,0,WhatsApp
Login OTP,5,0,0,SMS
Transaction OTP,10,1,1,Push Notification
Transaction OTP,4,0,0,Email
KYC Reminder,306,1,2,Push Notification
Transaction OTP,7,1,1,Push Notification
Payment Confirmation,121,1,0,Email
Transaction OTP,12,1,0,Push Notification
Fraud Alert,87,1,1,SMS
Monthly Statement,128,1,2,Email
Monthly Statement,94,1,1,Push Notification
Reward Points Update,176,1,0,Push Notification
Login OTP,7,0,0,SMS
Beneficiary Added Alert,57,1,1,WhatsApp
Credit Card Bill Reminder,282,0,0,Push Notification
Beneficiary Added Alert,75,1,1,SMS
KYC Reminder,206,1,1,Push Notification
Beneficiary Added Alert,106,0,1,WhatsApp
Fraud Alert,39,1,0,SMS
Payment Confirmation,122,1,0,Push Notification
Reward Points Update,176,0,0,Email
Monthly Statement,81,1,1,Email
Login OTP,12,1,2,SMS
Transaction OTP,7,1,1,Email
Credit Card Bill Reminder,272,1,0,Email
Fraud Alert,82,1,0,SMS
Payment Confirmation,145,0,0,Email
KYC Reminder,209,1,2,Push Notification
Transaction OTP,4,1,0,Email
Beneficiary Added Alert,114,1,1,Push Notification
KYC Reminder,183,1,0,Push Notification
Transaction OTP,9,0,1,Email
Fraud Alert,54,1,0,SMS
Credit Card Bill Reminder,123,0,1,Email
KYC Reminder,143,0,0,Push Notification
Beneficiary Added Alert,119,1,1,WhatsApp
Reward Points Update,28,1,0,Push Notification
Transaction OTP,4,1,0,Push Notification
Payment Confirmation,38,0,0,Email
KYC Reminder,138,0,1,Push Notification
Beneficiary Added Alert,69,0,0,WhatsApp
Monthly Statement,175,1,0,Email
Reward Points Update,139,1,0,Email
Fraud Alert,97,0,1,SMS
Monthly Statement,103,1,3,Email
Payment Confirmation,147,1,2,Push Notification
KYC Reminder,196,0,0,Push Notification
Fraud Alert,61,1,0,SMS
Monthly Statement,111,1,0,Email
Login OTP,12,1,0,SMS
Monthly Statement,177,1,0,Push Notification
Fraud Alert,57,1,1,SMS
Low Balance Alert,85,1,1,Email
Fraud Alert,62,0,1,SMS
Monthly Statement,129,1,1,Email
Low Balance Alert,71,1,0,Push Notification
Beneficiary Added Alert,102,1,0,WhatsApp
Transaction OTP,5,1,0,Push Notification
Beneficiary Added Alert,25,1,1,SMS
Payment Confirmation,52,0,1,Email
Reward Points Update,43,0,0,Email
Low Balance Alert,21,1,1,Email
Transaction OTP,7,0,1,Email
Beneficiary Added Alert,66,1,2,WhatsApp
Payment Confirmation,183,1,0,Push Notification
Login OTP,10,1,1,SMS
Login OTP,7,1,0,SMS
Credit Card Bill Reminder,227,1,2,Push Notification
KYC Reminder,215,0,0,Push Notification
Fraud Alert,66,0,0,SMS
Transaction OTP,4,0,0,Email
Payment Confirmation,200,1,0,Email
Monthly Statement,79,1,1,Email
Monthly Statement,157,0,0,Email
KYC Reminder,252,1,0,Push Notification
Fraud Alert,81,1,0,SMS
KYC Reminder,211,0,3,Push Notification
Beneficiary Added Alert,80,0,0,WhatsApp
Fraud Alert,49,0,0,SMS
Low Balance Alert,48,0,0,Email
Monthly Statement,142,1,2,Push Notification
Beneficiary Added Alert,57,0,0,WhatsApp
KYC Reminder,195,1,1,Push Notification
Payment Confirmation,114,1,0,WhatsApp
Low Balance Alert,70,0,0,Email
Payment Confirmation,85,1,0,Email
Transaction OTP,9,1,0,Push Notification
KYC Reminder,150,1,1,Push Notification
Credit Card Bill Reminder,210,1,0,Push Notification
Low Balance Alert,109,0,1,Email
Payment Confirmation,135,1,0,Email
Credit Card Bill Reminder,219,1,2,Push Notification
Beneficiary Added Alert,103,0,2,WhatsApp
Transaction OTP,7,1,0,Email
Fraud Alert,21,0,0,SMS
KYC Reminder,193,1,2,Push Notification
Fraud Alert,101,1,1,SMS
Credit Card Bill Reminder,216,1,1,Push Notification
Fraud Alert,102,0,0,SMS
Monthly Statement,181,1,2,Email
Fraud Alert,33,0,1,SMS
Low Balance Alert,54,1,0,Email
Credit Card Bill Reminder,350,0,2,Email
KYC Reminder,339,1,1,Push Notification
Beneficiary Added Alert,113,1,1,WhatsApp
Login OTP,8,0,0,SMS
KYC Reminder,189,1,1,Push Notification
Login OTP,12,1,0,SMS
Monthly Statement,138,1,1,Push Notification
Beneficiary Added Alert,77,0,0,WhatsApp
Payment Confirmation,49,1,1,Push Notification
Fraud Alert,113,0,0,SMS
Monthly Statement,103,1,0,Push Notification
Reward Points Update,39,0,0,Email
Payment Confirmation,71,0,1,Email
Credit Card Bill Reminder,339,1,0,Email
KYC Reminder,227,1,1,Push Notification
Credit Card Bill Reminder,123,0,0,Email
Reward Points Update,133,0,0,Email
Fraud Alert,112,0,1,SMS
Beneficiary Added Alert,109,1,0,WhatsApp
Payment Confirmation,156,0,1,Email
KYC Reminder,133,0,1,Push Notification
Login OTP,10,1,0,SMS
Login OTP,5,0,0,SMS
Credit Card Bill Reminder,322,0,0,Email
Monthly Statement,38,1,0,WhatsApp
Monthly Statement,122,0,0,Email
Login OTP,11,1,0,SMS
Reward Points Update,155,1,2,Email
Payment Confirmation,196,1,0,SMS
Monthly Statement,150,0,0,Email
Low Balance Alert,62,1,1,Email
Transaction OTP,4,1,2,Push Notification
Login OTP,12,0,2,SMS
Reward Points Update,140,0,2,Email
Monthly Statement,24,1,1,Email
Login OTP,12,1,1,SMS
Credit Card Bill Reminder,175,1,1,Email
Login OTP,7,1,2,SMS
Payment Confirmation,47,1,1,Email
Low Balance Alert,75,1,1,Email
Transaction OTP,4,1,0,Push Notification
Reward Points Update,137,1,0,Push Notification
Beneficiary Added Alert,32,0,1,WhatsApp
Login OTP,5,0,1,SMS
Fraud Alert,107,0,0,Push Notification
KYC Reminder,184,0,0,Push Notification
KYC Reminder,241,1,1,Push Notification
Login OTP,4,1,0,SMS
KYC Reminder,210,1,1,Push Notification
Reward Points Update,75,1,0,Push Notification
Fraud Alert,113,1,0,SMS
Fraud Alert,30,1,2,SMS
Low Balance Alert,52,1,0,Push Notification
Beneficiary Added Alert,38,1,1,WhatsApp
Reward Points Update,191,1,0,Push Notification
Payment Confirmation,183,1,0,Email
Login OTP,12,1,2,Email
Beneficiary Added Alert,91,1,1,WhatsApp
Login OTP,12,1,0,SMS
Beneficiary Added Alert,116,1,2,WhatsApp
Monthly Statement,151,0,1,Email
Reward Points Update,144,1,1,Push Notification
Low Balance Alert,91,1,0,Email
Reward Points Update,24,0,0,Email
Transaction OTP,6,1,3,Email
Login OTP,11,0,1,SMS
KYC Reminder,147,1,2,Push Notification
Monthly Statement,109,1,0,Email
Reward Points Update,90,1,0,Push Notification
KYC Reminder,147,0,2,Push Notification
Payment Confirmation,52,1,1,Email
Payment Confirmation,155,1,1,Push Notification
Transaction OTP,12,1,0,Push Notification
Payment Confirmation,76,0,0,Email
Payment Confirmation,176,0,1,Email
Reward Points Update,21,0,2,Email
Credit Card Bill Reminder,294,0,0,Email
Monthly Statement,30,0,3,Email
Payment Confirmation,185,1,1,WhatsApp
KYC Reminder,257,1,0,Push Notification
Credit Card Bill Reminder,166,0,0,SMS
Credit Card Bill Reminder,252,1,1,Email
Low Balance Alert,71,1,1,Email
Reward Points Update,100,1,0,Email
Fraud Alert,104,1,0,SMS
KYC Reminder,205,1,0,Push Notification
Reward Points Update,163,1,1,Push Notification
KYC Reminder,265,1,1,Push Notification
Monthly Statement,53,1,1,Push Notification
Credit Card Bill Reminder,336,1,1,Email
Reward Points Update,147,0,0,Email
Credit Card Bill Reminder,107,0,0,Email
Transaction OTP,11,0,0,Email
Credit Card Bill Reminder,173,0,0,Email
Beneficiary Added Alert,36,0,0,WhatsApp
Beneficiary Added Alert,48,0,0,WhatsApp
Beneficiary Added Alert,39,0,1,WhatsApp
Fraud Alert,114,0,0,SMS
Login OTP,12,0,0,SMS
Low Balance Alert,90,1,2,Push Notification
Reward Points Update,101,1,1,Push Notification
Login OTP,7,0,2,SMS
Reward Points Update,180,1,0,Push Notification
Low Balance Alert,99,1,0,Push Notification
KYC Reminder,195,1,1,Push Notification
Monthly Statement,119,1,0,Push Notification
Login OTP,4,1,0,SMS
Transaction OTP,11,1,0,Push Notification
Reward Points Update,117,0,1,Email
Monthly Statement,74,1,0,Push Notification
Payment Confirmation,140,1,2,Push Notification
Monthly Statement,153,1,1,Push Notification
Credit Card Bill Reminder,140,0,0,Email
Monthly Statement,77,1,1,WhatsApp
Payment Confirmation,182,1,0,Email
Low Balance Alert,78,0,0,Email
Login OTP,7,0,2,SMS
Low Balance Alert,64,1,1,Email
Payment Confirmation,167,1,0,Email
KYC Reminder,233,1,0,Push Notification
KYC Reminder,226,1,3,Push Notification
Beneficiary Added Alert,106,0,2,WhatsApp
Transaction OTP,10,1,1,Email
Credit Card Bill Reminder,311,1,0,Email
Fraud Alert,92,1,0,SMS
KYC Reminder,190,0,1,Push Notification
Monthly Statement,125,1,0,Push Notification
Credit Card Bill Reminder,328,0,1,WhatsApp
Low Balance Alert,74,0,0,Email
Beneficiary Added Alert,82,1,1,WhatsApp
Monthly Statement,42,1,2,Email
Transaction OTP,12,1,1,Email
Monthly Statement,48,0,1,Email
Reward Points Update,189,1,0,Push Notification
Login OTP,7,0,2,SMS
Fraud Alert,89,1,1,SMS
Transaction OTP,7,0,0,Email
Fraud Alert,55,1,0,SMS
Reward Points Update,58,0,0,Email
Login OTP,8,0,2,SMS
Monthly Statement,23,1,0,Push Notification
Fraud Alert,93,1,2,SMS
Credit Card Bill Reminder,260,1,1,SMS
KYC Reminder,272,0,0,Push Notification
KYC Reminder,223,0,1,Push Notification
Payment Confirmation,58,0,1,Email
Low Balance Alert,57,0,2,Email
Login OTP,11,1,1,SMS
Credit Card Bill Reminder,348,0,0,Email
Reward Points Update,90,1,0,Email
Low Balance Alert,119,1,0,Push Notification
Monthly Statement,139,0,0,Email
KYC Reminder,158,0,0,Push Notification
Low Balance Alert,91,1,2,Push Notification
Monthly Statement,178,0,1,Email
Monthly Statement,58,0,0,Push Notification
Monthly Statement,129,0,1,Email
KYC Reminder,178,0,0,Push Notification
Beneficiary Added Alert,101,0,0,WhatsApp
Credit Card Bill Reminder,199,0,1,Email
Reward Points Update,186,1,2,Email
Credit Card Bill Reminder,273,0,0,Email
Fraud Alert,81,1,0,SMS
Credit Card Bill Reminder,150,1,0,Push Notification
Beneficiary Added Alert,58,1,1,WhatsApp
KYC Reminder,307,0,0,Push Notification
Transaction OTP,12,1,0,Push Notification
Reward Points Update,126,1,1,Email
Beneficiary Added Alert,28,1,2,WhatsApp
Low Balance Alert,35,1,1,Email
KYC Reminder,235,0,1,Email
Low Balance Alert,57,1,1,Push Notification
Login OTP,8,1,1,SMS
Login OTP,7,0,0,SMS
Login OTP,7,1,2,SMS
Reward Points Update,179,0,1,Email
Credit Card Bill Reminder,149,1,2,Email
Transaction OTP,11,0,2,Email
KYC Reminder,263,1,0,Push Notification
Login OTP,4,1,0,SMS
Login OTP,9,1,0,SMS
Payment Confirmation,127,1,0,Email
Reward Points Update,136,1,3,Push Notification
Payment Confirmation,52,1,1,Push Notification
Monthly Statement,64,0,1,Email
Credit Card Bill Reminder,141,1,1,Push Notification
Fraud Alert,42,0,1,SMS
Payment Confirmation,69,0,2,Email
KYC Reminder,307,1,1,Push Notification
KYC Reminder,123,0,0,Push Notification
Credit Card Bill Reminder,191,0,1,Email
Low Balance Alert,27,1,0,Push Notification
Beneficiary Added Alert,84,1,0,WhatsApp
Reward Points Update,35,0,1,Email
Login OTP,6,0,2,SMS
Low Balance Alert,112,0,0,Email
Monthly Statement,200,0,0,Email
Reward Points Update,140,1,1,Push Notification
Fraud Alert,46,1,0,SMS
Transaction OTP,9,0,1,Email
Login OTP,7,1,0,SMS
Login OTP,4,0,0,SMS
Beneficiary Added Alert,50,0,1,WhatsApp
Monthly Statement,155,1,0,Email
Beneficiary Added Alert,73,1,3,WhatsApp
KYC Reminder,152,1,1,Push Notification
KYC Reminder,264,1,1,Push Notification
Reward Points Update,28,1,0,Email
Reward Points Update,92,1,0,Email
Login OTP,5,1,0,SMS
Login OTP,10,1,0,SMS
Beneficiary Added Alert,66,0,0,WhatsApp
KYC Reminder,275,1,1,Push Notification
Transaction OTP,10,0,0,Email
Fraud Alert,92,1,1,SMS
Login OTP,8,1,0,SMS
Reward Points Update,98,1,1,Push Notification
Beneficiary Added Alert,105,1,0,WhatsApp
Fraud Alert,20,0,0,SMS
Credit Card Bill Reminder,338,0,1,Email
Login OTP,10,1,1,SMS
Reward Points Update,29,1,2,Push Notification
Low Balance Alert,79,1,2,Push Notification
Credit Card Bill Reminder,303,0,0,Email
Reward Points Update,39,1,1,Email
Reward Points Update,109,1,1,Email
Beneficiary Added Alert,100,1,0,WhatsApp
Monthly Statement,40,1,0,Push Notification
Beneficiary Added Alert,35,0,1,Push Notification
Credit Card Bill Reminder,225,0,0,Email
Fraud Alert,95,1,2,SMS
Beneficiary Added Alert,48,1,0,WhatsApp
KYC Reminder,238,1,0,SMS
Low Balance Alert,102,0,1,Email
Payment Confirmation,167,0,0,Email
Low Balance Alert,48,0,1,Email
KYC Reminder,141,0,1,Push Notification
KYC Reminder,287,0,0,Push Notification
Reward Points Update,20,0,1,Email
Monthly Statement,25,1,3,Push Notification
Credit Card Bill Reminder,142,0,0,Email
Reward Points Update,131,1,2,Push Notification
Credit Card Bill Reminder,212,1,1,Push Notification
Login OTP,12,1,0,SMS
Payment Confirmation,51,1,1,Email
Monthly Statement,129,0,0,Email
Fraud Alert,82,0,0,SMS
KYC Reminder,267,0,1,Push Notification
Low Balance Alert,34,1,1,Email
Beneficiary Added Alert,26,0,0,WhatsApp
Reward Points Update,197,0,1,Email
Payment Confirmation,183,1,0,Push Notification
Fraud Alert,96,1,0,SMS
Login OTP,11,1,0,SMS
KYC Reminder,234,1,1,Push Notification
Login OTP,9,1,0,SMS
Credit Card Bill Reminder,319,1,0,Email
Beneficiary Added Alert,107,0,0,WhatsApp
Monthly Statement,50,1,0,Push Notification
Reward Points Update,186,1,0,Push Notification
Beneficiary Added Alert,73,1,1,WhatsApp
Reward Points Update,149,1,1,Push Notification
Beneficiary Added Alert,45,0,0,WhatsApp
Fraud Alert,105,0,0,SMS
Low Balance Alert,33,1,0,Push Notification
Reward Points Update,150,1,0,Email
Credit Card Bill Reminder,130,1,0,Push Notification
Monthly Statement,80,0,1,Email
Reward Points Update,70,0,0,Email
KYC Reminder,266,1,1,Push Notification
Reward Points Update,33,0,0,Email
Payment Confirmation,183,1,0,Email
Beneficiary Added Alert,103,1,0,WhatsApp
Beneficiary Added Alert,33,0,0,WhatsApp
Login OTP,9,0,0,SMS
Payment Confirmation,159,0,0,Email
Transaction OTP,8,0,0,Email
Monthly Statement,139,1,2,Email
Monthly Statement,133,1,0,Push Notification
Monthly Statement,22,1,1,Email
